"Site","Location","USDA_Species_Code","Sample_Barcode","Rep","Machine","Date","Cond"
"Barrow","zeeps","ERAN6","1824","1","Andy","20160709",-0.063407136
"Barrow","zeeps","ERAN6","1824","1","Andy","20160709",-0.005413006
"Barrow","zeeps","ERAN6","1824","1","Andy","20160709",-0.006107639
"Barrow","zeeps","ERAN6","1824","1","Andy","20160709",0.011035634
"Barrow","zeeps","ERAN6","1824","1","Andy","20160709",0.039847187
"Barrow","zeeps","ERAN6","1824","1","Andy","20160709",0.035755929
"Barrow","zeeps","ERAN6","1824","1","Andy","20160709",0.019860092
"Barrow","zeeps","ERAN6","1824","1","Andy","20160709",0.02599385
"Barrow","zeeps","ERAN6","1824","1","Andy","20160709",0.03914392
"Barrow","CribbinIsland","ERAN6","1838","1","Mariano","20160710",0.031445788
"Barrow","CribbinIsland","ERAN6","1838","1","Mariano","20160710",-0.214921932
"Barrow","CribbinIsland","ERAN6","1838","1","Mariano","20160710",-0.250994481
"Barrow","CribbinIsland","ERAN6","1838","1","Mariano","20160710",-0.097631403
"Barrow","CribbinIsland","ERAN6","1838","1","Mariano","20160710",0.012914261
"Barrow","lessinyourface","ARLA2","1960","1","Flash","20160713",0.0442437
"Barrow","urinecorner","SAPU15","1958","1","Flash","20160713",-0.579573087
"Barrow","urinecorner","SAPU15","1958","1","Flash","20160713",-0.073149159
"Barrow","Bryan'sPath","CAAQ","1953","1","Derek","20160713",0.049812828
"Barrow","Bryan'sPath","CAAQ","1953","1","Derek","20160713",0.048547302
"Barrow","Bryan'sPath","CAAQ","1953","1","Derek","20160713",0.04430094
"Barrow","Bryan'sPath","CAAQ","1953","1","Derek","20160713",0.041687283
"Barrow","Bryan'sPath","CAAQ","1953","1","Derek","20160713",0.049730315
"Barrow","Bryan'sPath","CAAQ","1953","1","Derek","20160713",0.043170596
"Barrow","Bryan'sPath","CAAQ","1953","1","Derek","20160713",0.041346394
"Barrow","Bryan'sPath","CAAQ","1953","1","Derek","20160713",0.039810217
"Barrow","Bryan'sPath","CAAQ","1953","1","Derek","20160713",0.034481763
"Barrow","Bryan'sPath","CAAQ","1953","1","Derek","20160713",0.031875498
"Barrow","Bryan'sPath","CAAQ","1953","1","Derek","20160713",0.030080732
"Barrow","Bryan'sPath","CAAQ","1953","1","Derek","20160713",0.029830216
"Barrow","Bryan'sPath","CAAQ","1953","1","Derek","20160713",0.02110185
