"Site","Sample_Date","Spectra_Name","BNL_Barcode","Sample_Barcode","USDA_Species_Code","Instrument","Foreoptic","Collection_Units","Spectra_Units","Spectra_Type","Reflectance_Type","White_Reference_Standard","Spectral_Resolution","Interpolation_Method","Overlap_Handling","Overlap_Removal","Overlap_Matching_Type","Leaf_VIS_Spectral_Absorption"
"Barrow (Utqia_vik) Environmental Observatory","20160709","BNL1818","BNL1818","1818","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.937079846440894
"Barrow (Utqia_vik) Environmental Observatory","20160709","BNL1819","BNL1819","1819","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.94378483353716
"Barrow (Utqia_vik) Environmental Observatory","20160709","BNL1820","BNL1820","1820","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.946271353835122
"Barrow (Utqia_vik) Environmental Observatory","20160709","BNL1821","BNL1821","1821","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.938773839946783
"Barrow (Utqia_vik) Environmental Observatory","20160709","BNL1822","BNL1822","1822","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.947824180420891
"Barrow (Utqia_vik) Environmental Observatory","20160709","BNL1824","BNL1824","1824","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.93449376781364
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1823","BNL1823","1823","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.94804614379835
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1827","BNL1827","1827","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.924248742286838
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1828","BNL1828","1828","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.944146938079572
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1829","BNL1829","1829","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.93936091470041
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1835","BNL1835","1835","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.931154719596277
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1836","BNL1836","1836","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.873442122700359
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1837","BNL1837","1837","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.936149077827405
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1838","BNL1838","1838","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.906421792178644
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1839","BNL1839","1839","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.946383263305581
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1840","BNL1840","1840","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.946021956592009
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1841","BNL1841","1841","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.880154570259168
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1842","BNL1842","1842","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.883287735742659
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1847","BNL1847","1847","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.849920713226528
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1850","BNL1850","1850","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.859394570936807
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1851","BNL1851","1851","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.844460806257142
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1843","BNL1843","1843","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.865989492919322
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1844","BNL1844","1844","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.880307978853671
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1845","BNL1845","1845","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.871846044116612
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1846","BNL1846","1846","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.868755700939408
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1873","BNL1873","1873","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.8595523310565
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1874","BNL1874","1874","CAAQ","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.770725292764857
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1878","BNL1878","1878","CAAQ","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.764958335253227
"Barrow (Utqia_vik) Environmental Observatory","20160711","BNL1879","BNL1879","1879","CAAQ","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",0.826916763851392
