"Site","Sample_Date","Spectra_Name","BNL_Barcode","Sample_Barcode","USDA_Species_Code","Instrument","Foreoptic","Collection_Units","Spectra_Units","Spectra_Type","Reflectance_Type","White_Reference_Standard","Spectral_Resolution","Interpolation_Method","Overlap_Handling","Overlap_Removal","Overlap_Matching_Type","N.mu","N.q25","N.q975","Cab.mu","Cab.q25","Cab.q975","Car.mu","Car.q25","Car.q975","Cw.mu","Cw.q25","Cw.q975","Cm.mu","Cm.q25","Cm.q975"
"Barrow (Utqia_vik) Environmental Observatory","20160709","BNL1818","BNL1818","1818","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",2.26552066134142,2.25769909507728,2.28791464281633,54.183501246126,53.8356873491013,55.1577643881102,27.3981709730174,26.6247212395649,29.8396403967208,0.0206735792361244,0.0206158042850305,0.0208581368468418,0.00798356985232255,0.00781866486311682,0.00844545272943599
"Barrow (Utqia_vik) Environmental Observatory","20160709","BNL1819","BNL1819","1819","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",2.18459174745865,2.17767303020899,2.20472729302396,61.8969400767009,61.5358844668245,63.0861731319629,28.5513318114922,27.6625632491333,31.086811875131,0.0202030616170491,0.0201452893040866,0.0203719310977732,0.00866824144924888,0.00852090561795951,0.00912076486586253
"Barrow (Utqia_vik) Environmental Observatory","20160709","BNL1820","BNL1820","1820","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",2.49220465670572,2.48117876542637,2.52360730491537,61.2743349064719,60.8402428681674,62.5817916984236,37.0546045708545,35.7279953367261,40.6685677419643,0.023380192536342,0.0233001528039429,0.0236041151937425,0.00938702122600823,0.00917395877250896,0.00998563977198632
"Barrow (Utqia_vik) Environmental Observatory","20160709","BNL1821","BNL1821","1821","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",2.10562727796977,2.09912584576087,2.12357156904929,55.0328580507635,54.6627968151221,56.0271800089025,25.6410476506163,24.8443139595552,27.8545912139609,0.0196784926409359,0.0196174526922675,0.0198481191703357,0.00712287578644336,0.00697315614200712,0.00754008815465707
"Barrow (Utqia_vik) Environmental Observatory","20160709","BNL1822","BNL1822","1822","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",2.23626880611442,2.22787068948558,2.26031542723807,64.5093010409179,64.0369940327596,65.904431690798,27.8636005960904,26.8274430631661,30.8306253517028,0.0217219398024524,0.0216503218341414,0.021920631634385,0.00883561971428867,0.00865073812295273,0.00936192723005287
"Barrow (Utqia_vik) Environmental Observatory","20160709","BNL1824","BNL1824","1824","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",2.1570398034107,2.14982878409262,2.17781350718998,53.2945228536419,52.9612208163003,54.2801630332885,21.1126623524816,20.5474986263083,22.8949983054129,0.0190931784915454,0.0190307779779738,0.0192730455144264,0.00778117043636919,0.00761586557933505,0.00823146602290636
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1823","BNL1823","1823","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",2.18863162690592,2.18203455939172,2.20722476116525,63.6269595611842,63.180587751376,65.0066099320693,32.2134016977449,31.1221752774026,35.5333249838296,0.0176777201303113,0.0176246328831855,0.0178303090143318,0.00750998009813689,0.00736410661792799,0.00791050059810959
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1827","BNL1827","1827","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",2.01413290281822,2.0092562561753,2.02771422433761,46.8658226040202,46.5863923582872,47.6618587589947,21.1752152783858,20.6354020813767,22.7644091260847,0.0159549567249576,0.0159121458403612,0.0160772486361721,0.00559475002829437,0.00547827195622634,0.00590060514127213
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1828","BNL1828","1828","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",2.11603731355196,2.10967698267974,2.13420862857967,60.249276770492,59.8454637629707,61.3775342114587,29.4976786132539,28.5477429849702,32.3801062102482,0.017911434914681,0.0178549987365252,0.0180670911226893,0.0074463155099019,0.00729564894023556,0.00787445042769759
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1829","BNL1829","1829","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.87692548553995,1.87227981475066,1.89040991513492,52.9606538559479,52.6008992225343,53.9289641103342,28.4919883968484,27.4433304434051,31.4407889634978,0.0161062158520047,0.0160515438903922,0.0162620702345675,0.00611146219063772,0.00598440752330998,0.00647887042713629
