"Site","Location","USDA_Species_Code","Sample_Barcode","Rep","Machine","Date","Mean_Tleaf","Mean_CiCa_lt_100umols","Mean_Ci_lt_100umols"
"Barrow","154boardwalkleft","PEFR5","2033","1","Flash","20160716",14.936755942,0.9944439582,388.09649872
"Barrow","154boardwalkleft","PEFR5","2034","1","Mariano","20160716",14.973456384,0.9999744384,389.9723285
"Barrow","154boardwalkleft","PEFR5","2035","1","Mariano","20160716",15.011848638,0.993012896,387.37392072
"Barrow","154boardwalkleft","PEFR5","2036","1","Flash","20160716",15.06852646,0.9731975926,379.44318302
"Barrow","154boardwalkright","PEFR5","2042","1","Mariano","20160716",14.875265312,1.0063937314,393.00600966
"Barrow","154boardwalkright","PEFR5","2043","1","Flash","20160716",14.8895449625,1.01898413575,397.967567625
"Barrow","154pond","CAAQ","2038","1","Flash","20160716",14.90122471,1.0225090878,398.91112638
"Barrow","154pond","CAAQ","2039","1","Mariano","20160716",15.1560351066667,0.884852699,345.155012333333
"Barrow","boardwalkT","ARLA2","1843","1","Andy","20160711",14.965651892,1.012175365,395.09775842
"Barrow","boardwalkT","ARLA2","1883","1","Mariano","20160711",14.871494294,1.011723055,394.85140832
"Barrow","boardwalkT","ARLA2","1884","1","Andy","20160711",14.946230506,1.0088757338,393.68191474
"Barrow","brian'spath","ERAN6","1829","1","Bernie","20160710",14.989070512,0.9824687472,383.31575972
"Barrow","brian'spath","ERAN6","1835","1","Bernie","20160710",14.9708054075,1.0080922685,393.2464679
"Barrow","Brian'sPath","CAAQ","1924","1","Bernie","20160712",14.85243702,1.00650443025,392.7491311
"Barrow","Brian'sPath","CAAQ","1926","1","Bernie","20160712",14.858039094,0.9969182138,388.95526086
"Barrow","Brian'sPath","ERAN6","1827","1","Derek","20160710",14.9112699025,1.004994208,392.0743371
"Barrow","Brian'sPath","ERAN6","2061","1","Derek","20160717",5.0158819198,0.997999135,389.2526099
"Barrow","Brian'sPath","ERAN6","2062","1","Bernie","20160717",4.8844754695,0.99747520625,389.023670075
"Barrow","Brian'sPath","ERAN6","2063","1","Bernie","20160717",4.91775023925,1.0089700675,393.5460815
"Barrow","Brian'sPath","ERAN6","2064","1","Derek","20160717",4.8126955986,1.0108685028,394.27182624
"Barrow","Brian'sPath","ERAN6","2065","1","Derek","20160717",4.889988303,1.0068179895,392.622615975
"Barrow","Brian'sPath","ERAN6","2066","1","Bernie","20160717",4.7612385748,1.0201866462,397.96561792
"Barrow","Brian'sPath","ERAN6","2071","1","Derek","20160717",4.88806712625,1.0171427485,396.77994915
"Barrow","Brian'sPath","ERAN6","2072","1","Derek","20160717",5.026069522,1.004709598,392.020657925
"Barrow","Brian'sPathEast","ERAN6","1839","1","Derek","20160710",14.9457595325,0.99396541175,387.72044705
"Barrow","brian'spathfareast","ERAN6","1840","1","Bernie","20160710",14.88877845,1.02511907925,400.06094735
"Barrow","bryan'spath","CAAQ","1965","1","Bernie","20160714",14.970859845,1.05844461366667,412.8877859
"Barrow","bryan'spath","CAAQ","1997","1","Bernie","20160714",14.923880576,1.02763407,400.97113932
