"Site","Location","USDA_Species_Code","Sample_Barcode","Rep","Machine","Date","Area","Tair","Tleaf","deltaT","RH_R","RH_S","VpdA","VpdL","PARi","PARo","Press","Ci_Ca","CO2R","CO2S","Photo","Cond","Ci"
"Barrow","Zeeps","PEFR5","1815","1","Bernie","20160708",6,20.95622063,21.69734764,2.44632088,56.10925293,67.68171692,0.861748249,0.920172435,1999.481567,111.3648529,101.3007889,0.661198846,416.2411499,389.975708,20.93169863,0.285560703,257.8514881
"Barrow","Zeeps","PEFR5","1815","1","Bernie","20160708",6,21.13890457,21.32428741,1.670833173,55.25286865,65.78440094,0.875674964,0.89010639,1500.43103,108.3701477,101.3013306,0.663802463,414.8696289,390.0837097,19.77374853,0.270396811,258.9385271
"Barrow","Zeeps","PEFR5","1815","1","Bernie","20160708",6,21.78282928,21.30431747,1.352800149,52.65192413,62.17079163,0.952554535,0.915010811,1251.062744,95.97833252,101.2999039,0.646252131,413.9923401,390.1588745,19.03209037,0.245274435,252.1410041
"Barrow","Zeeps","PEFR5","1815","1","Bernie","20160708",6,22.27413177,21.30473328,0.970535135,50.53352356,59.51303864,1.013843473,0.937280006,1000.243774,89.24275208,101.2962418,0.648537854,412.3899536,389.9438782,17.90040181,0.231701321,252.8933658
"Barrow","Zeeps","PEFR5","1815","1","Bernie","20160708",6,22.79383087,21.33498192,0.592012785,48.32679749,56.75062561,1.083597659,0.967428318,749.6040649,92.56616974,101.2925949,0.657465699,410.6764221,390.1570435,16.32113492,0.216216106,256.5148732
"Barrow","Zeeps","PEFR5","1815","1","Bernie","20160708",6,23.09899902,21.30592918,0.196992951,47.13289642,55.10773849,1.123229084,0.980024582,499.5436401,93.8879776,101.2871933,0.696078347,407.1759949,389.8651428,13.67616931,0.205044947,271.376684
"Barrow","Zeeps","PEFR5","1815","1","Bernie","20160708",6,23.50329018,21.29801941,-0.185750884,45.58401108,53.05317307,1.176908801,0.999878088,248.6818848,92.9720459,101.2914124,0.799126123,400.4832764,389.7298279,8.24756704,0.192059882,311.4432865
"Barrow","Zeeps","PEFR5","1815","1","Bernie","20160708",6,23.64581299,21.35610008,-0.248339169,45.21493912,52.49291229,1.196658991,1.012068471,201.2035217,99.57857513,101.2880478,0.837316561,399.678833,391.1928711,6.369159575,0.186109437,327.5522695
"Barrow","Zeeps","PEFR5","1815","1","Bernie","20160708",6,23.71273422,21.45941353,-0.338674293,45.23150635,52.38708496,1.207739124,1.02516714,149.8545227,142.1578979,101.2870712,0.874113915,396.4186096,390.0393372,4.625839492,0.181051713,340.938812
"Barrow","Zeeps","PEFR5","1815","1","Bernie","20160708",6,23.78728485,21.61152649,-0.44716948,45.43671799,52.58131027,1.214040311,1.036501771,99.52179718,185.6356964,101.2876816,0.92995867,393.5103455,389.9900208,2.243147004,0.17948245,362.6746011
"Barrow","Zeeps","PEFR5","1815","1","Bernie","20160708",6,23.68958282,21.66313744,-0.51558053,46.01233673,53.22528458,1.200357777,1.034879602,75.93218231,164.9434967,101.2887497,0.959515749,392.829834,390.7802124,1.014897771,0.180516943,374.9597681
"Barrow","Zeeps","PEFR5","1815","1","Bernie","20160708",6,23.07991791,21.69755363,-0.600769385,48.93056107,56.02596664,1.129638356,1.017521248,51.12865067,115.6017151,101.2873688,0.98988417,390.3635559,389.8710022,-0.244463086,0.173679571,385.9271334
"Barrow","Zeeps","PEFR5","1815","1","Bernie","20160708",6,23.00102043,21.56721115,-0.627404222,49.33129501,56.25605392,1.113473207,0.997910305,20.46380806,149.3696289,101.2862549,1.02945428,389.4949036,390.9189148,-1.823247663,0.171934648,402.43315
"Barrow","Zeeps","PEFR5","1815","1","Bernie","20160708",6,23.0115242,21.50007057,-0.645200563,49.53632355,56.37308502,1.104513087,0.983001698,0.349467456,155.5907288,101.2861328,1.062290226,387.9465637,390.9671326,-3.144854279,0.172466633,415.3205634
"Barrow","Zeeps","PEFR5","1815","2","Bernie","20160708",6,21.08628082,21.37625885,2.801447217,48.810215,57.65057373,1.085060285,1.10766544,2000.564209,74.67626953,101.2817078,0.774979909,2057.597412,2000.590576,43.7658607,0.176105868,1550.417502
"Barrow","Zeeps","PEFR5","1815","2","Bernie","20160708",6,21.91324997,21.3606739,2.018945068,46.31494141,54.20965958,1.164458379,1.120929144,1500.762207,82.38088989,101.2807388,0.780992767,2051.92749,2000.455078,39.38568249,0.162755954,1562.340946
"Barrow","Zeeps","PEFR5","1815","2","Bernie","20160708",6,22.25976372,21.37121582,1.607648111,45.17085648,52.7040596,1.202978678,1.13262693,1249.33667,98.36247253,101.2786255,0.788801769,2047.790405,1999.938965,36.45914843,0.156647558,1577.555393
